Overall Qual,Overall Cond,Year Built,Total Bsmt SF,Total Liv Area,Full Bath,Half Bath,Bedroom AbvGr,TotRms AbvGrd,Garage Area,SalePrice
6,5,1960,1080,1656,1,0,3,7,528,215000
5,6,1961,882,896,1,0,2,5,730,105000
6,6,1958,1329,1329,1,1,3,6,312,172000
7,5,1968,2110,2110,2,1,3,8,522,244000
5,5,1997,928,1629,2,1,3,6,482,189900
6,6,1998,926,1604,2,1,3,7,470,195500
7,5,1999,994,1804,2,1,3,7,442,189000
6,5,1993,763,1655,2,1,3,7,440,175900
6,5,1998,789,1465,2,1,3,7,393,180400
7,5,1990,1300,1341,1,1,2,5,506,171500
8,5,2003,1650,3279,3,1,4,12,841,538000
8,7,1988,559,1752,2,0,4,8,492,164000
9,2,2010,1856,1856,1,1,1,8,834,394432
4,5,1951,864,864,1,0,2,4,400,141000
6,6,1978,1542,2073,2,0,3,7,500,210000
6,6,1977,1844,1844,2,0,3,7,546,190000
7,6,1974,1053,1173,2,0,3,6,528,170000
5,6,1968,1056,1056,1,0,3,6,304,142000
4,5,1970,882,882,1,0,2,4,525,126000
4,5,1971,864,864,1,0,3,5,0,115000
9,5,2009,1590,2334,2,1,3,10,751,376162
8,5,2007,1704,1704,2,0,3,7,772,306000
9,5,2009,1930,1940,2,1,3,8,606,395192
8,5,2009,1544,1544,2,0,3,7,868,290941
7,5,2005,1541,1541,2,0,3,7,532,220000
9,5,2005,1698,1698,2,0,3,7,730,275000
8,5,2005,1822,1822,2,0,3,8,678,259000
7,5,2004,1517,1535,2,0,3,7,532,214000
9,5,2009,2330,2364,2,1,2,11,820,611657
9,5,2003,2846,2696,2,1,3,10,958,500000
8,5,2002,1671,2250,2,1,3,7,756,320000
6,5,2005,1324,1324,2,0,3,6,430,199500
7,5,2004,384,1374,2,1,3,7,400,184500
7,5,2004,847,1733,2,1,3,7,433,185088
9,5,1999,1393,2599,2,1,4,10,779,333168
8,5,1998,1629,2475,2,1,4,7,962,355000
7,5,1996,1720,1720,2,0,3,7,527,260400
8,5,1994,1463,2622,2,1,3,9,712,325000
8,7,1999,1152,2270,2,1,4,9,671,290000
7,5,1998,1195,1839,2,1,4,7,486,221000
8,5,1995,2033,3238,2,1,4,9,666,410000
8,5,2005,1595,1595,2,0,2,6,880,221500
7,5,2009,1218,1218,2,0,2,4,676,204500
7,5,2009,756,1547,2,1,3,7,614,215200
8,5,2008,1566,1566,2,0,3,7,750,262500
7,5,2004,991,1947,2,1,3,8,678,254900
6,5,2005,1468,1468,2,0,2,6,528,271500
7,5,2004,956,2084,2,1,4,8,618,233000
7,5,2004,831,1659,2,1,3,8,484,181000
6,5,1992,1055,1845,2,1,3,8,462,189000
6,5,1984,1040,1097,2,0,3,6,480,152000
6,6,1980,650,1564,2,1,3,7,476,171000
5,7,1961,1109,1155,1,0,3,6,576,148000
5,8,1965,894,894,1,0,3,5,336,138500
5,5,1963,1040,1040,1,1,3,5,308,133000
6,6,1974,1208,1494,2,0,3,7,461,169000
7,5,1992,750,1923,2,1,3,8,564,190000
8,5,1993,1231,2349,2,1,4,9,762,362500
8,5,1992,1390,2225,2,1,4,7,713,285000
8,5,2010,1642,1418,1,1,1,6,852,267916
8,5,2000,975,1848,2,1,3,7,592,254000
